,images1,images2,images3,images4,images5,images6,images7,images8,images9,images10,images11,images12,images13,images14,images15,images16
images1,100.00,53.00,41.00,38.00,38.00,37.00,38.00,39.00,38.00,37.00,32.00,31.00,32.00,24.00,24.00,24.00
images2,52.00,100.00,62.00,47.00,46.00,46.00,46.00,46.00,46.00,46.00,40.00,34.00,34.00,24.00,23.00,23.00
images3,42.00,64.00,100.00,58.00,56.00,55.00,57.00,53.00,54.00,53.00,46.00,40.00,41.00,27.00,26.00,27.00
images4,37.00,46.00,55.00,100.00,59.00,57.00,57.00,52.00,53.00,51.00,43.00,39.00,39.00,27.00,27.00,27.00
images5,37.00,45.00,53.00,59.00,100.00,66.00,60.00,56.00,56.00,53.00,45.00,42.00,41.00,28.00,27.00,26.00
images6,35.00,44.00,51.00,55.00,64.00,100.00,58.00,54.00,53.00,51.00,44.00,40.00,41.00,26.00,26.00,25.00
images7,38.00,46.00,55.00,57.00,61.00,61.00,100.00,62.00,58.00,56.00,47.00,41.00,42.00,26.00,27.00,26.00
images8,38.00,46.00,52.00,52.00,57.00,57.00,63.00,100.00,64.00,60.00,48.00,42.00,42.00,28.00,28.00,26.00
images9,38.00,48.00,53.00,55.00,58.00,57.00,59.00,66.00,100.00,71.00,53.00,46.00,46.00,30.00,29.00,28.00
images10,37.00,47.00,52.00,52.00,54.00,54.00,57.00,60.00,70.00,100.00,57.00,46.00,48.00,31.00,28.00,28.00
images11,34.00,43.00,47.00,47.00,49.00,49.00,52.00,52.00,56.00,61.00,100.00,56.00,57.00,40.00,36.00,36.00
images12,32.00,35.00,40.00,41.00,44.00,43.00,44.00,44.00,47.00,48.00,54.00,100.00,63.00,40.00,36.00,36.00
images13,33.00,35.00,41.00,41.00,43.00,44.00,44.00,44.00,47.00,49.00,55.00,62.00,100.00,52.00,40.00,37.00
images14,27.00,27.00,30.00,31.00,32.00,30.00,30.00,31.00,34.00,34.00,42.00,44.00,56.00,100.00,54.00,49.00
images15,25.00,24.00,27.00,28.00,29.00,28.00,28.00,30.00,30.00,30.00,35.00,37.00,40.00,50.00,100.00,59.00
images16,24.00,23.00,27.00,28.00,27.00,27.00,27.00,27.00,28.00,28.00,34.00,36.00,37.00,44.00,58.00,100.00
