,images1,images2,images3,images4,images5,images6,images7,images8,images9,images10,images11,images12,images13,images14,images15,images16
images1,100.00,58.00,46.00,43.00,44.00,43.00,43.00,43.00,43.00,43.00,37.00,37.00,36.00,29.00,29.00,28.00
images2,58.00,100.00,67.00,52.00,52.00,52.00,52.00,52.00,52.00,52.00,45.00,40.00,39.00,28.00,27.00,27.00
images3,48.00,69.00,100.00,63.00,62.00,61.00,63.00,59.00,59.00,59.00,51.00,45.00,46.00,32.00,32.00,32.00
images4,43.00,52.00,61.00,100.00,65.00,64.00,63.00,57.00,58.00,56.00,48.00,45.00,45.00,31.00,31.00,31.00
images5,43.00,51.00,59.00,64.00,100.00,73.00,67.00,62.00,61.00,58.00,51.00,47.00,47.00,33.00,32.00,31.00
images6,41.00,49.00,57.00,61.00,70.00,100.00,65.00,60.00,59.00,57.00,50.00,46.00,47.00,31.00,31.00,31.00
images7,42.00,51.00,60.00,63.00,67.00,67.00,100.00,68.00,63.00,61.00,53.00,48.00,48.00,32.00,32.00,32.00
images8,43.00,52.00,58.00,58.00,63.00,63.00,69.00,100.00,70.00,65.00,54.00,48.00,48.00,33.00,33.00,32.00
images9,44.00,54.00,59.00,61.00,64.00,64.00,66.00,72.00,100.00,76.00,59.00,53.00,53.00,36.00,34.00,34.00
images10,43.00,53.00,58.00,58.00,61.00,61.00,64.00,66.00,76.00,100.00,63.00,53.00,54.00,36.00,34.00,33.00
images11,40.00,49.00,54.00,53.00,56.00,57.00,58.00,58.00,62.00,68.00,100.00,63.00,63.00,46.00,42.00,42.00
images12,38.00,41.00,45.00,47.00,50.00,50.00,50.00,50.00,53.00,54.00,60.00,100.00,68.00,46.00,42.00,42.00
images13,38.00,41.00,46.00,47.00,50.00,51.00,51.00,50.00,53.00,55.00,61.00,69.00,100.00,57.00,45.00,43.00
images14,33.00,32.00,35.00,36.00,38.00,37.00,37.00,37.00,40.00,40.00,48.00,50.00,62.00,100.00,61.00,57.00
images15,31.00,29.00,32.00,33.00,35.00,35.00,35.00,35.00,35.00,35.00,41.00,43.00,45.00,57.00,100.00,66.00
images16,29.00,28.00,31.00,32.00,32.00,33.00,33.00,32.00,33.00,33.00,39.00,41.00,42.00,51.00,64.00,100.00
